video_id,title,title_len,desc_len,tags_count,published_hour,published_dayofweek,categoryId,duration_seconds,views,likes,comments
Ha4KYA3sM-0,He Found a Live Stream Near His Home (@jazkeanedj/@jazkeane),60,63,8,14,2,17,38,12671034,580495,927
8xdKo5rPZEM,Robbery encountered a frying pan warrior!#shorts #shortvideo #series #fouryou,77,0,0,12,6,24,58,23071432,642992,3478
FYWLB7x9xmE,He doesn’t allow his daughters to say that word#series,54,0,0,14,1,22,61,15740461,1002780,3216
G8xQtz8RcD0,"But according to Tanya,39 quarters looked a lot neater than 40. #shorts",71,0,0,10,1,22,59,14497020,651855,426
lBOfz9Rqalk,Pouring Bad Beer's Prank @misfitmindss,38,346,14,16,2,23,56,31357700,0,2537
G5aMbWdhmHY,They finally managed to save themselves.#shorts,47,0,0,11,0,22,59,26225101,671845,571
u4up-3gicwI,She Saved Him 💝 | Going In Style | Sad Edit | Song - Kamin (Slowed) #edit #shorts,81,1043,0,8,2,24,59,13308270,0,1088
X1xUvpMrFkY,One of the stories you shouldn't miss.#shorts,45,0,0,11,0,22,60,6408184,216359,525
vI4wVcvy8pc,SIDEMEN YOU LAUGH YOU LOSE: 24 HOUR EDITION,43,1989,3,18,6,24,4866,6974365,243875,5628
GHAb_MF3w8I,How I Got PRANKED with Ice Cream.. 🍨😭 #relatablestories #comedy #funnymemes,75,318,0,16,3,24,14,7905593,217444,2747
PcQ-0fze9bQ,He did not expect this from his wife😱😏,38,0,0,15,3,22,57,25480420,603384,14507
ppwwFGUu7y0,#misspanghal,12,765,9,16,4,24,40,4272141,171693,1707
tyGjLN1RaJQ,A Toddler Fell Into A Well 😢,28,0,0,20,6,19,33,34633748,1069337,7807
56jvMArcgT0,It Wasn’t His Friends Who Looked Away—It Was Him,48,792,0,15,6,1,60,12585304,553465,1879
6GRHbyq-eWM,This child should be properly disciplined#series,48,0,0,13,6,22,60,16316332,594247,3556
GRNEiyEu3K8,Chris Pratt And Millie Bobby Brown Competing For The Dog Crown👑🔥,64,346,0,19,5,22,50,11419662,385024,1072
#NAME?,Dexter Kills The Wrong Dude | #shorts,37,29,7,5,1,24,24,10905504,450575,1428
CU_CVgS_jJw,Emma Stone on NYC Ignoring Spider Man 🕷️🦸,41,647,0,18,1,22,19,9749435,378955,555
t2GNyN6L6Z4,She Tamed The Unicorn Demon | Shazam! Fury of the Gods | Kamin - Emin & Jony (slowed) #edit #shorts,99,828,0,13,2,22,59,31870392,894611,9403
qqXmeUy4UHE,Bro's Questions ⁉️,18,121,0,20,5,24,60,8363452,0,733
DFpGheK4K64,"Ordinary day in Japan, 1945 👀🤣 #familyguy #familyguyfunnymoments #familyguyclips",80,164,0,18,2,1,19,7669990,289539,782
LYiRQMucCuI,A true man  who has sorted his priorities straight,50,1110,13,5,3,10,30,6826275,0,813
_O8J0CYWj08,Dino Kid's older Brother uses Rizz on Fairy in 99 nights in the Forest,70,0,0,21,4,22,18,6184607,118269,6503
hPuyJlsLym4,Arresting A Clown Is No Laughing Matter 🤡,41,445,27,6,4,1,115,19809328,993107,2199
14hAAOgkwOg,In The Middle of The Flight Joke.. 😂😂 | Bad Friends ft Andrew Santino and Bobby Lee,83,202,36,3,6,23,46,5485292,94952,546
rmckGuwghE0,When girls let it rip,21,0,0,21,0,23,16,6825633,183673,667
3YfTtpvUV1g,That No-Good Travis,19,0,0,7,0,1,60,8681170,210260,726
RsKr3SeZ-TQ,A poor girl😭😭😭#switchedatbirth #moviescene #fyp #foryou #tvshow,63,0,0,11,2,10,59,21430439,828881,784
ddE3RRQm7ys,Homer is stuck #shorts,22,0,0,17,0,22,58,9677740,306723,392
SIFGbLbF0jg,He is a good principal. | Front.of.the.Class 👀✨ #movie #shorts #edit,68,1889,0,13,0,1,58,5457886,145069,321
TmDjI-ZV8us,Angry Driver Gets Instant Karma! 😮‍💨,36,280,0,0,5,2,40,63093988,1441625,3238
HVe9BO9wP_I,Why porsche headlights keep getting stolen,42,0,0,11,5,2,36,43150001,605403,2626
TUK137dVE-8,Conflit fou : un conducteur descend de sa voiture face à un bus ! #roadrage,75,0,0,16,4,19,54,88759672,1370930,16126
w4WJozTYc80,Biker Spots Smoking Car and Saves Passengers. #shorts #biker #goodpeople #save #viralmoment,91,604,29,12,1,24,36,11994200,273940,797
DK0gbKlsG58,There's always someone crazier  #bikers #roadrage,49,49,0,13,4,22,50,18895971,434790,22946
4QPFqBLJ3Qg,How impact wrenches works. #mechanical #automobile#viralvideo #editing #engineering #viralshort,95,43,0,12,4,22,11,30196238,378119,2163
FLXdA__ju18,DONT CLICK  THE SOUND,21,74,0,14,5,20,41,7082563,261110,55260
fyzSS8MeMGk,Pickup Driver Merges In front of Cammer #dashcam #driving #road,63,0,7,0,1,2,17,6751428,0,1162
Haf1BPLVTZk,This biker changed a sheriff's tyre 👮‍♀️🛞 (Via: @Joker.Stuntz ) #short #femalesheriff,85,0,0,21,5,24,90,7905405,360982,8630
xv4wyWkKPlI,"The first hydrogen energy car can drive 1,500 kilometers on a single refuel, taking only five",93,0,0,17,2,2,10,19996096,293042,16915
Wh7JMQ4KAek,No way bro had the whole family with him #thecrewmotorfest,58,0,0,3,5,20,72,8512982,327155,8581
Xm_aW2FHoCc,The dumbest car design flaws ever,33,0,6,19,0,2,44,4675255,130389,510
w5QwMbND-Xw,One the Greatest Racing Cars ever made😍#topgear #thegrandtour #cars,67,67,23,17,1,2,60,1894830,42243,505
DMgHsg1opy8,He didn’t know it was my car that he was recording 😂,52,233,0,17,3,24,96,5241593,211543,3451
Gjjodi1rY_4,When a Biker Meets IShowSpeed…😳 #shorts #bike #biker #ishowspeed,64,0,0,0,4,22,29,2256570,51444,225
QuPpbrb72xE,Idiots blocked the road look what happen #cars #viralvideo #automobile #highlights,82,37,0,8,1,22,12,4775482,149042,7258
qfja8EN2yEQ,Ranking The Beat Human Parking Sensor!,38,38,0,14,0,22,52,22229044,578985,920
rDee7Ii_FUE,California Cop Targets Lamborghini Owner 🤨,42,0,0,22,2,22,57,2888253,85439,862
4tIDo948m1k,He Tried To End Another Rider’s Race… But Karma Got Him... 😳🏍️,62,1693,0,16,6,22,37,3881030,68278,161
nXI_apcbvpQ,FREE FERRARI MODS. VTEC goes BWAAAAA #ferrari,45,0,0,15,2,2,58,1675819,49345,609
viCQOWR91gk,Wyd in this situation? #s1k #bmw #motorcycle #streetbike #bikelife,66,0,0,17,1,22,62,81015706,1733929,78275
2F1KJyhZ2wk,SURONSTER'S  mini Porsche review. amazing handling #shorts,58,0,0,17,2,24,36,18974910,348773,1875
3L_CA5B40Gk,He Paints Lines On Cars Perfectly 🤯,35,0,0,1,5,20,13,1055189,18655,50
aCVq5vvmKZw,Bikers rarest moments,21,21,0,12,2,22,36,1862559,24232,52
6804o5QUQ9Y,The $5000 Gamble that Changed Shauno's life FOREVER - The REAL Shaun Whale story,80,2887,33,8,3,24,1156,186866,9620,678
vqSSoXyKER0,COCKY Mustang GT500 gets HUMBLED!!! #toyotasupra #toyota #supra #cars #bmw,74,0,0,16,5,22,33,5907169,184614,1466
R3nuE5vzG8o,Biker KNOCKED OUT In Front Of Cops... 🤯 @RavenR1_,49,42,0,13,5,24,45,7320811,213749,3079
SvTTFACt8UE,Dash Cam Owners Australia Weekly Submissions September Week 1,61,219,7,7,1,2,1416,194502,3923,1287
Rf-xz5kvclw,8HP90 Oil Pump Failure - PART 1 #shorts #mechaniclife #transmission #repair #dealer #howto #hellcat,99,0,0,2,0,2,134,3431807,86634,1555
sSUXFlaLnWI,Male Karen Throws Temper Tantrum And Threatens Ebiker!! | @tbbenjy  #motorcycle #karen #crashout,96,137,0,19,5,2,62,5863335,162813,10040
V9vuCByb6js,Sabrina Carpenter - Tears (Official Video),42,1855,3,4,4,10,304,34590460,854028,39352
q8SbeHhNR9k,Tom MacDonald - CHARLIE,23,774,22,16,3,10,150,4542285,507432,41816
xGaZBfJOyAc,Lady Gaga - The Dead Dance (Official Music Video),49,806,3,16,2,10,287,23656166,831218,56709
9AdW0d1nYd0,Tsham Tshay - Sonam Wangchen ft. Leczin and Alien | OFFICIAL MUSIC VIDEO | @YeshiLhendupFilms ,94,2792,0,12,5,10,240,377205,14873,466
zaS7CdVXh7s,ALCATRAZ | CHANI NATTAN | JAZZY B | INDERPAL MOGA | DR. ZEUS | NEW PUNJABI SONG 2025 | LATEST ,94,655,0,4,4,10,135,1832890,35601,1861
eNs2ZCP937Y,Tate McRae - Revolving door/Sports car (Live From the 2025 MTV VMAs),68,101,3,0,3,10,233,686208,35644,1052
3rS83uI0Wak,"POPPY, AMY LEE, COURTNEY LAPLANTE - End of You (Official Music Video)",69,3587,8,20,3,10,206,3419672,246500,12190
5Ozjel72yjQ,Twenty One Pilots - City Walls (Official Video),47,3430,2,4,4,10,595,1621056,173162,13864
-YlmnPh-6rE,For A Reason (Official Video) Karan Aujla | Tania  | Ikky | Latest Punjabi Songs 2025,85,1421,27,8,4,10,189,56115215,642121,12317
5oQVTnq-UKk,aespa 에스파 'Rich Man' MV,23,539,16,4,4,10,210,28666485,771070,29462
nYLkyW2dDXU,"Bijuria | Sunny Sanskari Ki Tulsi Kumari | Varun, Janhvi,Sanya, Rohit | Sonu, Tanishk, Ravi, Asees",98,3550,28,5,2,10,208,36042485,510454,59317
usVq_4K_m_w,"Panwadi | Sunny Sanskari Ki Tulsi Kumari | Varun, Janhvi, Rohit, Sanya| A.P.S,Khesari Lal,Masoom,Dev",100,4626,30,9,2,10,222,9126395,276824,37979
Md0iC99WmOc,MO - TheLungten (Official Video) | OST DRALA,44,1036,5,8,3,10,206,213088,5281,150
6zXNNPS7sPo,How It’s Done,13,998,10,0,3,10,177,9631081,151647,0
Ytmcwjf2amw,Your Idol,9,959,13,0,3,10,192,11013485,178993,0
s3a4OQR-10M,Tame Impala - Loser (Official Video),36,457,19,19,2,10,268,5425142,254992,8646
42wfEs7oIP8,CORTIS (코르티스) 'FaSHioN' Official MV,35,2827,4,8,0,10,180,3059937,308376,18944
ym_NaT7x7Rw,Iceman (Official Video) Gur Sidhu | Kaptaan | New Punjabi Song 2025,67,862,12,5,2,10,152,4845715,81237,1239
8J-Up5QcQpc,Jaane Meriye ( Official Video ) Gulab Sidhu | Mahi Sharma | Jang Dhillon | New Punjabi Songs 2025,97,1256,21,5,4,10,253,3308483,48917,1230
pDy8B_r81vY,Fadel Chaker - Sahak Isho2  | 2025 | فضل شاكر - صحاك الشوق,58,1979,29,14,0,10,242,45498150,481292,52516
xM2KfRILE9w,What It Sounds Like,19,1079,10,0,4,10,251,7002904,123243,0
4H7ZJQPPThY,KATSEYE (캣츠아이) “M.I.A” Visualizer,33,611,4,16,1,10,142,1921212,195579,4978
Mh68QRg9MH8,The Weeknd - Society,20,41,0,22,3,10,174,990107,105632,7019
O8WXFI_MSAI,Ed Sheeran - Camera (Official Music Video),42,1914,28,4,4,10,224,1129437,26007,1306
nt5tXl9Vtug,Shubh - Balenci (Official Music Video),38,239,23,7,5,10,183,10243289,244846,13808
KQp_7QVTK58,Trance of OMI - #TheyCallHimOG | Pawan Kalyan | Emraan Hashmi | Sujeeth | Thaman S | DVV Danayya,96,2587,16,13,3,10,174,3254001,242487,5708
DntZ3-yCaFs,Manchild,8,987,5,10,3,10,214,3903268,60822,303
zkYGofQoYcc,Vail Purane (Official Song) Hustinder Ft Jasmeen Akhtar | Desi Crew | Timeless | Latest Punjabi Song,100,1094,21,4,2,10,180,510678,8594,122
asG7cwxi1sA,"Saiyaara Reprise - Female | Full Song | Ahaan, Aneet | Tanishk, Faheem, Arslan | Shreya | Irshad",96,3393,24,5,3,10,184,3902056,85266,2848
aSMxHAnOh6I,Fadel Chaker - Rouh El Baher  | 2025 | فضل شاكر - روح البحر,59,1714,29,14,5,10,286,7305964,131234,18148
3pxw0Bs43Mw,Camera Angle Saved Her Career📷(@t100triathlon),46,115,8,18,4,24,19,64733809,1326230,3205
0DVoI2Psi2c,Bradley Martyn just SLAPPED another person for snatching his hat 😳. #ufc #bradleymartyn,87,0,0,0,4,17,21,14285385,267655,19787
v7Me2Po5Kpg,Whose ball was THAT?! 😅,23,1376,16,12,5,17,32,26100106,464167,1593
ns_xylv5D4A,Shes Just Spamming The Same Move 🤣,34,75,9,14,1,24,22,12562718,423419,6898
T7XsxT2E9iI,Yuzuru Hanyu Notices Something Off... (@yuzurujenn),51,114,4,14,0,22,36,11320372,379652,570
7Bp2xllvCbs,The COLDEST Moment In Olympics History!?🥶🏅 | Remco Evenepoel,60,0,0,21,6,22,48,15387206,496058,1080
Ym5en018F7E,Speed Is So Forgiving ❤️ #ishowspeed #wholesome #edit,53,0,0,15,3,24,42,5341416,72122,427
yaqLgx9KQXc,fake catch.. 💀,14,490,21,16,3,17,20,21657723,368433,764
tKWxD5zPdDc,What Was Happening With This UFC Fighter's Leg??😳🦶,50,335,6,15,6,17,45,14395633,347172,644
cvEToCm3TVU,When Dude Perfect HUMBLED Steph... #nba #basketball #stephencurry,65,0,0,1,3,17,50,4180446,70036,362
2ACfl8zpWdY,Coach is subbing everybody off 😭,32,247,4,21,2,17,13,36515572,1100039,3398
uA9Zcg3vHvo,I Raced IShowSpeed,18,651,0,20,0,24,47,250713601,5616511,6931
U2g4jzwb_WU,The Impossible Basketball Ramp!,31,116,0,17,4,24,30,2143766,0,42
rPzMugQLXyA,An Old Man Made My Day.. ❤️‍🩹😭 #relatablestories #comedy #funnymemes,68,249,0,14,3,24,11,4164697,122344,3766
X8QeFeFe030,How NBA Players Fix the Rim! (via: patthestatguy/IG) #shorts #nba #basketball,77,0,0,15,6,17,36,8684671,138446,142
Pk6G5fSKl5k,This guy booked front row seats for this,40,0,0,18,6,10,13,16092345,419877,1803
Kb9LnTGIv8k,Ranking Best Celebration Fails 😂,32,151,0,2,4,22,35,2860706,25502,29
WgOu8_exCjY,Kylie Cox proved them all wrong🥶🥶#sketch #fooyball #edit,56,455,0,18,5,22,20,7400870,239406,297
cbdW31gqmc4,Day As A Soccer Referee ⚽️🫱,27,0,0,18,4,22,59,1268020,47535,174
NxEqWhTh3Go,Look alike cam #lookalike,25,0,0,9,1,22,61,29275108,481757,994
_zwvWXpekos,Kimpembe mentality 😤,20,0,0,11,0,17,15,23954293,481682,925
eB2ODWkYADA,"iShowSpeed Actually WON MrBeast's $100,000 Soccer Challenge! 💸",62,473,21,8,5,17,60,10474775,230650,858
3L9i7NjTA6I,Tennis Pro SURPRISED Speed..  💀😲,32,66,0,11,5,22,37,10811725,315106,617
eQnnD59Nu24,How will you teach them? #shorts,32,172,0,1,4,1,138,2177978,95906,94
DKQ-muvG-0g,True Strength Isn’t Fighting… It’s Standing Fearlessly Beside a Friend 💪❤️ #motivational,88,0,0,13,0,22,24,16563082,0,1532
_1fVpnaTKns,DON'T CHECK THE SOUND 😭😭,24,107,0,22,1,24,39,76717911,2815893,6570
EBEZg41oFlI,Jason Bourne? #mma #combatnight #martialarts #lastresort #combatsports #florida #2025 #fighter #fyp,99,0,0,14,2,17,15,2674205,54177,1239
JZZ-sLcH49w,We have to beat it…😳⚽️,22,0,0,22,5,24,10,11857232,178578,1599
9ScRvTq29sA,Ronaldo Day Makes IShowSpeed ​​Famous 😎,39,787,2,10,2,17,41,15694057,428228,1179
8i6rj0pHPkY,Bro Lost His Hat💀,17,77,0,9,6,24,13,3768219,19434,24
tWIEv_aksvo,Nintendo Direct 9.12.2025,25,543,11,14,4,20,3966,4391313,145034,13962
i7olkVMpmxE,I Unlocked the New SECRET RITUAL in Steal a Brainrot!,53,1480,10,17,4,20,939,997324,19473,1273
jyhyiul2vGI,UPGRADING Subscribers Accounts in Steal a Brainrot!,51,569,20,19,3,20,1453,1784118,21221,5704
DprAK933Fdg,These people are f*cking evil..,31,541,10,0,4,20,1174,2900521,261161,53038
eBX2bkFgmGg,Rumi ADOPTED by SAJA BOYS in ROBLOX!,36,387,23,22,4,20,884,371218,7072,543
PTeCsquQsDg,BETA SQUAD AMONG US: Chunkz Shapeshifter Masterclass,52,500,0,20,4,22,2131,369821,19833,1158
iuzrW48LBSs,Building A LUXURIOUS Base In 99 NIGHTS IN THE FOREST,52,712,0,18,4,20,1277,305587,8592,2157
cj9GOaQoUfo,"I REACT To INSANE DTI SHORTS w/ ""SECRET"" ITEMS, Hacks, OUTFITS & More! | ROBLOX Dress to Impress",96,2947,54,15,1,20,573,384949,2031,323
Zdi1HJQ19sk,Minecraft's Most UNLUCKIEST Moments... (FUNNY!),47,795,22,14,5,20,923,2092499,953,83
RJ7KAnN3BfE,Testing Scary Minecraft Myths Trapped Inside Paintings…,55,866,17,2,5,20,1342,255760,5999,1465
2NMTl3b9Ssg,I Downloaded HACKS In Grow A Garden..,37,1697,21,18,4,20,852,612796,19079,3768
Hwxqvwn7XKA,I HAD TOO MUCH SUGAR RECORDING THIS [Kindergarten 2 Part 3],59,787,26,19,3,20,2512,2655791,231268,14125
MW166u0SqoI,[EN] Day 2 - The International 2025,35,177,0,21,4,20,42896,1684079,8451,43
DQlAOAB-A-4,I Crafted EVERY NEW BRAINROT in Steal a Brainrot,48,108,8,11,4,24,1972,535704,5816,1441
3Q5qaTaiEGE,Upgrading Deer Monster to GOD in Minecraft,42,717,15,3,4,20,1098,703650,7276,599
mR8smZIiyM4,The Dark Truth Of Steal A Brainrot…,35,230,6,17,4,20,576,306345,5540,1160
AlDuF6v_Rvk,I Built THE SCHOOL BASE in 99 Nights in the Forest! (Roblox),60,170,11,15,4,20,1493,504035,8047,813
eH-rgQOdTmo,We Bought A Giant Pool (Waterpark Sim Episode 12),49,730,13,22,3,20,4645,693985,26465,1486
eP8HQHE7lEk,GET THE CHEESE,14,1336,14,19,3,20,1245,1124123,53753,1363
cpxTrF1EiPw,Borderlands 4 - Before You Buy,30,287,10,23,4,20,736,339977,12478,2179
uvFxfde3Few,Noob to MAX REBIRTH CHALLENGE in Steal a Brainrot,49,1017,16,22,2,20,1399,1269046,14461,3647
7XQ7XChOezY,How I SCAMMED every Roblox developer.,37,106,3,3,5,20,488,263674,16018,2265
VFg4D4H4lWo,Starting Over With EVERY Chest in Grow a Garden,47,325,11,14,3,20,1569,1279698,19104,2713
VuwnO5DoaCQ,super speedy loon,17,80,0,10,4,24,1178,353744,23560,1683
K-WllBA05eo,Room Color = Biome!,19,2074,35,15,4,20,1375,209501,6783,508
yxmecxyS5gI,We Played Nuclear Nightmare Again,33,1468,12,22,2,20,1684,981655,58251,1412
iyGM7oyWA88,THE WHEEL PICKS MY DECK,23,581,7,0,2,20,6511,1039431,23041,1043
F06GCUbg1EA,I Survived as a Hardcore Assassin,33,982,10,5,4,20,2832,378258,13134,1246
w3m0Rg6m9G0,BEWARE of SAJA BOYS in Roblox!,30,456,23,21,4,20,1069,429643,14238,544
c9nKHJIupww,The Boys PEAK (CHASE MOD),25,578,25,17,4,20,5746,182910,11311,400
yVmf7IyX9R8,I can’t believe this #vlog,26,26,0,3,0,22,93,1001346,56051,148
t8MO-bfn9Uw,LATE NIGHT ROUTINE AS A MOM😴 can’t believe my whole family is sick again😭 #vlog #momlife,88,142,0,16,2,22,64,719144,32769,132
ah3H2z-qPYI,COME WITH US ON OUR HONEYMOON ‼️,32,158,0,18,2,27,79,833474,54039,275
3BoSd1KpT_Y,I Let My Husband Style Me For A Week *Stuart's serving looks*,61,980,26,17,4,26,1924,374865,32842,2483
ZgmIFlg8GV4,I'M ENGAGED/ ENGAGEMENT VLOG!! 💍🩷,33,1618,13,22,2,22,728,283810,11939,454
idh-ArDXFTI,my bachelorette/hen do retreat 👰🏼‍♀️🥂🐚✨ VLOG,44,1613,24,19,2,22,1710,32482,1812,74
MP4laQQYlOw,"weekly vlog 💌 melb trip, packing orders, shopping, hot honey cheese toast, banana bread syrup!!",95,625,21,4,0,26,2631,29240,593,17
cDkWqlLSGII,"WEEKLY VLOG - unboxing, new hair, books & being a simp lol",58,494,17,8,3,26,1681,20019,918,43
0BbLZKDaGog,COME WITH ME TO SCHOOL *highschool edition*,43,173,13,14,4,22,1446,158971,10464,317
n9XHcp-Bwp8,The End of a 4-Year Journey,27,4493,20,17,2,22,1847,81577,10251,906
CGHY2NFnNDI,zygote #2 vlog,14,533,0,17,3,22,2054,619047,47020,5262
_1pDYuEC7LA,a birthday weekend in the Hamptons | Jules LeBlanc,50,499,9,19,3,24,681,56374,2861,126
nb1ZCFQ0QIo,I Hired a Professional Organizer to Clean Out My Kitchen!!,58,1179,21,15,3,26,1495,110820,4063,157
sHxr1Nx-GWA,starting our living room makeover & testing beams | MaCenna Lee,63,1956,15,22,4,24,1563,60353,6463,290
CN0vrYKm3Qo,WE MISSED THE BIRTH OF OUR BABY ,32,540,0,19,5,24,1880,656831,65543,11039
tjfHluvqbQw,Surprising My Mum With A Tattoo & A Weekend Camping,51,807,0,17,3,24,1975,98912,2662,82
cVcyApkFwZI,Nati & Amaury’s HUGE announcement!,34,1448,26,21,6,22,1651,164940,19176,1385
GiK270gG0lY,TOURING NEW HOUSES!! Cooking My Comfort Food + Our Birthday Celebration!!,73,1417,12,15,2,22,1399,155845,4773,198
9IykMsmBySQ,LAST DAY IN DEHRADUN!! - S2E23,30,449,7,6,3,22,812,618260,15689,766
3Huq6a_JWEo,🍏 FiRST DAY of SCHOOL🍎 *2025* MORNiNG ROUTiNE w/ My 10 KiDS! *BiG CHANGES!*,75,2137,31,17,2,22,2999,1210385,18393,1954
wxG071_yRk8,Karen Mad Because Rocket Bike 🤣 Credit @ToledoRocketMan,55,23,0,7,6,22,36,3355552,38684,143
M4ApKmnCPsA,"BACK IN POSITANO -  Family, Gardening & Coastal Days",52,1110,29,15,6,19,1261,98040,12435,990
z3RyVErwtkw,I'm giving this bedroom an EXTREME cozy makeover (best surprise reveal),71,2527,25,15,1,26,1498,104920,7716,272
HXqkmOw2hiY,"WEDDING vlog👰🏻‍♀️: big sis got married, life updates, spending time at home, escape room w/ friends",99,739,0,13,4,22,1205,77465,6389,239
aIC4MFTaUOk,"healing diaries 💌 emotional breakdowns, feeling “too much”, dating anxiety & gentle love reminders",98,2638,0,19,4,26,1595,37854,3058,299
6OhNMVap0eE,The farm house gets a turbo boost,33,143,30,18,3,22,571,44670,9421,228
uCQFc7iZGJU,PRIMORSK STRIKE: RUSSIAS LARGEST OIL EXPORT HUB ON FIRE Vlog 1165: War in Ukraine,81,1221,9,20,4,22,658,33972,7275,992
Y4nkBAteplc,VLOG ★ week in my life,22,653,9,20,0,22,1452,96493,3554,180
RIF5hKME_4o,first day of sophomore year 𐙚 *grwm & vlog*,43,352,0,19,4,26,1108,385506,17271,728
eHSPNCKM_kc,LETS HANG OUT!!! | vlog | Sophia and Cinzia | ad,48,485,0,14,5,1,2165,145134,2719,84
